fecha,lunes,martes,miercoles,jueves,viernes,sabado,domingo
13/07/2024,0,0,0,0,0,41,0
14/07/2024,0,0,0,0,0,0,27
15/07/2024,42,0,0,0,0,0,0
16/07/2024,0,55,0,0,0,0,0
17/07/2024,0,0,54,0,0,0,0
18/07/2024,0,0,0,27,0,0,0
19/07/2024,0,0,0,0,25,0,0
20/07/2024,0,0,0,0,0,43,0
21/07/2024,0,0,0,0,0,0,26
22/07/2024,54,0,0,0,0,0,0
23/07/2024,0,49,0,0,0,0,0
24/07/2024,0,0,37,0,0,0,0
25/07/2024,0,0,0,37,0,0,0
26/07/2024,0,0,0,0,27,0,0
27/07/2024,0,0,0,0,0,35,0
28/07/2024,0,0,0,0,0,0,19
29/07/2024,34,0,0,0,0,0,0
30/07/2024,0,40,0,0,0,0,0
31/07/2024,0,0,48,0,0,0,0
1/08/2024,0,0,0,73,0,0,0
2/08/2024,0,0,0,0,70,0,0
3/08/2024,0,0,0,0,0,35,0
4/08/2024,0,0,0,0,0,0,48
5/08/2024,60,0,0,0,0,0,0
6/08/2024,0,46,0,0,0,0,0
7/08/2024,0,0,32,0,0,0,0
8/08/2024,0,0,0,50,0,0,0
9/08/2024,0,0,0,0,38,0,0
10/08/2024,0,0,0,0,0,47,0
11/08/2024,0,0,0,0,0,0,53
12/08/2024,52,0,0,0,0,0,0
13/08/2024,0,52,0,0,0,0,0
14/08/2024,0,0,34,0,0,0,0
15/08/2024,0,0,0,25,0,0,0
16/08/2024,0,0,0,0,31,0,0
17/08/2024,0,0,0,0,0,38,0
18/08/2024,0,0,0,0,0,0,28
19/08/2024,40,0,0,0,0,0,0
20/08/2024,0,36,0,0,0,0,0
21/08/2024,0,0,54,0,0,0,0
22/08/2024,0,0,0,47,0,0,0
23/08/2024,0,0,0,0,36,0,0
24/08/2024,0,0,0,0,0,29,0
25/08/2024,0,0,0,0,0,0,49
26/08/2024,37,0,0,0,0,0,0
27/08/2024,0,51,0,0,0,0,0
28/08/2024,0,0,70,0,0,0,0
29/08/2024,0,0,0,47,0,0,0
30/08/2024,0,0,0,0,43,0,0
31/08/2024,0,0,0,0,0,78,0
1/09/2024,0,0,0,0,0,0,41
2/09/2024,36,0,0,0,0,0,0
3/09/2024,0,65,0,0,0,0,0
4/09/2024,0,0,60,0,0,0,0
5/09/2024,0,0,0,78,0,0,0
6/09/2024,0,0,0,0,55,0,0
7/09/2024,0,0,0,0,0,40,0
8/09/2024,0,0,0,0,0,0,48
9/09/2024,43,0,0,0,0,0,0
10/09/2024,0,45,0,0,0,0,0
11/09/2024,0,0,48,0,0,0,0
12/09/2024,0,0,0,76,0,0,0
13/09/2024,0,0,0,0,79,0,0
14/09/2024,0,0,0,0,0,49,0
15/09/2024,0,0,0,0,0,0,55
16/09/2024,58,0,0,0,0,0,0
17/09/2024,0,46,0,0,0,0,0
18/09/2024,0,0,64,0,0,0,0
19/09/2024,0,0,0,57,0,0,0
20/09/2024,0,0,0,0,49,0,0
21/09/2024,0,0,0,0,0,50,0
22/09/2024,0,0,0,0,0,0,26
23/09/2024,40,0,0,0,0,0,0
24/09/2024,0,44,0,0,0,0,0
25/09/2024,0,0,39,0,0,0,0
26/09/2024,0,0,0,32,0,0,0
27/09/2024,0,0,0,0,32,0,0
28/09/2024,0,0,0,0,0,55,0
29/09/2024,0,0,0,0,0,0,33
30/09/2024,55,0,0,0,0,0,0
1/10/2024,0,52,0,0,0,0,0
2/10/2024,0,0,54,0,0,0,0
3/10/2024,0,0,0,61,0,0,0
4/10/2024,0,0,0,0,57,0,0
5/10/2024,0,0,0,0,0,37,0
6/10/2024,0,0,0,0,0,0,38
7/10/2024,41,0,0,0,0,0,0
8/10/2024,0,40,0,0,0,0,0
9/10/2024,0,0,40,0,0,0,0
10/10/2024,0,0,0,47,0,0,0
11/10/2024,0,0,0,0,38,0,0
12/10/2024,0,0,0,0,0,35,0
13/10/2024,0,0,0,0,0,0,40
14/10/2024,32,0,0,0,0,0,0
15/10/2024,0,31,0,0,0,0,0
16/10/2024,0,0,34,0,0,0,0
17/10/2024,0,0,0,62,0,0,0
18/10/2024,0,0,0,0,49,0,0
19/10/2024,0,0,0,0,0,34,0
20/10/2024,0,0,0,0,0,0,54
21/10/2024,47,0,0,0,0,0,0
22/10/2024,0,33,0,0,0,0,0
